,Close,cash_return,source_date,monthly_return,ma_10m,trend_above_sma,always_timing_invested,buy_hold_invested,trip_count,signal_score,timing_on,combined_invested,combined_return,always_timing_return,buy_hold_return,combined_equity,always_timing_equity,buy_hold_equity,combined_growth_10k,always_timing_growth_10k,buy_hold_growth_10k,trend_level
1961-07-31,1.1487873838151643,0.0,1961-07-31,0.0,1.0570741811514648,True,True,True,2,3.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,10000.0,10000.0,1.0570741811514648
1961-08-31,1.1743787322273411,0.002029757840692259,1961-08-31,0.022276836229857544,1.0846177518405828,True,True,True,2,3.0,True,True,0.022276836229857544,0.022276836229857544,0.022276836229857544,1.0222768362298575,1.0222768362298575,1.0222768362298575,10222.768362298575,10222.768362298575,10222.768362298575,1.0846177518405828
1961-09-30,1.1538660981679554,0.0018762711408015775,1961-09-29,-0.017466796269787088,1.1062446947283837,True,True,True,2,3.0,True,True,-0.017466796269787088,-0.017466796269787088,-0.017466796269787088,1.004420935000108,1.004420935000108,1.004420935000108,10044.209350001081,10044.209350001081,10044.209350001081,1.1062446947283837
1961-10-31,1.1895015697166798,0.001970839318168771,1961-10-31,0.03088354151777617,1.1268263919110653,True,True,True,1,2.0,True,True,0.03088354151777617,0.03088354151777617,0.03088354151777617,1.0354410106475076,1.0354410106475076,1.0354410106475076,10354.410106475076,10354.410106475076,10354.410106475076,1.1268263919110653
1961-11-30,1.2391031437417914,0.001813339432651384,1961-11-30,0.0416994607555885,1.145907133351403,True,True,True,1,2.0,True,True,0.0416994607555885,0.0416994607555885,0.0416994607555885,1.0786183424357303,1.0786183424357303,1.0786183424357303,10786.183424357303,10786.183424357303,10786.183424357303,1.145907133351403
1961-12-31,1.2459127225235331,0.001946135045239883,1961-12-29,0.00549557057952299,1.1626206674918196,True,True,True,0,0.0,False,True,0.00549557057952299,0.00549557057952299,0.00549557057952299,1.0845459656649539,1.0845459656649539,1.0845459656649539,10845.459656649538,10845.459656649538,10845.459656649538,1.1626206674918196
1962-01-31,1.2021268816815915,0.0022479965180666195,1962-01-31,-0.035143585943368194,1.1719253920408972,True,True,True,0,0.0,False,True,-0.035143585943368194,-0.035143585943368194,-0.035143585943368194,1.0464311313110743,1.0464311313110743,1.0464311313110743,10464.311313110744,10464.311313110744,10464.311313110744,1.1719253920408972
1962-02-28,1.224680602138677,0.0020258340457761648,1962-02-28,0.018761514113665,1.1828073278540345,True,True,True,0,0.0,False,True,0.018761514113665,0.018761514113665,0.018761514113665,1.0660637637501456,1.0660637637501456,1.0660637637501456,10660.637637501455,10660.637637501455,10660.637637501455,1.1828073278540345
1962-03-31,1.2209607518035945,0.0023541477251547427,1962-03-30,-0.003037404469856342,1.1909113032865397,True,True,True,0,0.0,False,True,-0.003037404469856342,-0.003037404469856342,-0.003037404469856342,1.0628256969089789,1.0628256969089789,1.0628256969089789,10628.256969089789,10628.256969089789,10628.256969089789,1.1909113032865397
1962-04-30,1.1482541919541893,0.0021325501270736957,1962-04-30,-0.059548646213241185,1.1947572077770516,False,False,True,0,0.0,False,True,-0.059548646213241185,-0.059548646213241185,-0.059548646213241185,0.9995358654974046,0.9995358654974046,0.9995358654974046,9995.358654974047,9995.358654974047,9995.358654974047,1.1947572077770516
1962-05-31,1.0524959294487342,0.0023525986674983734,1962-05-31,-0.08339465527444423,1.1851280623404086,False,False,True,0,0.0,False,True,-0.08339465527444423,0.0023525986674983734,-0.08339465527444423,0.9161799165598052,1.0018873722426906,0.9161799165598052,9161.799165598053,10018.873722426906,9161.799165598053,1.1851280623404086
1962-06-30,0.9689809969113751,0.0022144946478335203,1962-06-29,-0.07934941143297503,1.1645882888088122,False,False,True,0,0.0,False,True,-0.07934941143297503,0.0022144946478335203,-0.07934941143297503,0.8434815794140725,1.0041060464662541,0.8434815794140725,8434.815794140726,10041.060464662542,8434.815794140726,1.1645882888088122
