trend_mode,trade_cost_mode,variant_key,variant_label,start,end,strategy,final_equity,total_return,cagr,vol,max_drawdown,sharpe,sortino,avg_pct_invested
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-09-18,ActuallyFinance GTT,18305950.61895677,1829.5950618956772,0.12069547302854944,0.13043406507530408,-0.26723242518424606,0.6164551127395226,0.8763065838608026,0.8687763713080169
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-09-18,200D SMA always on,9816830.358077388,980.6830358077387,0.11015287264976004,0.11063671959023538,-0.22378711112005922,0.6197122588909765,0.8722134824589959,0.753827606992164
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-09-18,Buy and hold,8258023.638891095,824.8023638891095,0.10724500399592052,0.16462713804662168,-0.5518943770476799,0.44538699881159505,0.6270338798901827,1.0
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-09-18,Philosophical Economics GTT #1: Retail Sales,14926811.059194827,1491.6811059194827,0.11723191429222446,0.14124508884127104,-0.4871743866576064,0.557749449700343,0.7918906430093864,0.9113924050632911
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-09-18,200D SMA always on,9816830.358077388,980.6830358077387,0.11015287264976004,0.11063671959023538,-0.22378711112005922,0.6197122588909765,0.8722134824589959,0.753827606992164
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-09-18,Buy and hold,8258023.638891095,824.8023638891095,0.10724500399592052,0.16462713804662168,-0.5518943770476799,0.44538699881159505,0.6270338798901827,1.0
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-09-18,Philosophical Economics GTT #2: Industrial Production,20142059.84245887,2013.205984245887,0.12232147601665289,0.14580714784687043,-0.3296163204619451,0.5762611583433813,0.8133878526728995,0.9366485834840266
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-09-18,200D SMA always on,9816830.358077388,980.6830358077387,0.11015287264976004,0.11063671959023538,-0.22378711112005922,0.6197122588909765,0.8722134824589959,0.753827606992164
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-09-18,Buy and hold,8258023.638891095,824.8023638891095,0.10724500399592052,0.16462713804662168,-0.5518943770476799,0.44538699881159505,0.6270338798901827,1.0
200d,0bps,pe_gtt_3_retail_or_industrial,Philosophical Economics GTT #3: Retail Sales or Industrial Production,1960-10-14,2026-09-18,Philosophical Economics GTT #3: Retail Sales or Industrial Production,21959916.00427663,2194.991600427663,0.12379342510874514,0.1350706903490407,-0.35340034007409493,0.6202713839340457,0.8882438461217188,0.8871609403254973
200d,0bps,pe_gtt_3_retail_or_industrial,Philosophical Economics GTT #3: Retail Sales or Industrial Production,1960-10-14,2026-09-18,200D SMA always on,9816830.358077388,980.6830358077387,0.11015287264976004,0.11063671959023538,-0.22378711112005922,0.6197122588909765,0.8722134824589959,0.753827606992164
200d,0bps,pe_gtt_3_retail_or_industrial,Philosophical Economics GTT #3: Retail Sales or Industrial Production,1960-10-14,2026-09-18,Buy and hold,8258023.638891095,824.8023638891095,0.10724500399592052,0.16462713804662168,-0.5518943770476799,0.44538699881159505,0.6270338798901827,1.0
200d,0bps,pe_gtt_4_employment,Philosophical Economics GTT #4: Employment Growth,1960-10-14,2026-09-18,Philosophical Economics GTT #4: Employment Growth,20092787.520880144,2008.2787520880145,0.12227978199107459,0.14288355539468323,-0.3371727424890646,0.5849927520264008,0.8180049594544724,0.9058468957203134
200d,0bps,pe_gtt_4_employment,Philosophical Economics GTT #4: Employment Growth,1960-10-14,2026-09-18,200D SMA always on,9816830.358077388,980.6830358077387,0.11015287264976004,0.11063671959023538,-0.22378711112005922,0.6197122588909765,0.8722134824589959,0.753827606992164
