,Close,cash_return,sma_200,daily_return,trend_above_sma,always_timing_invested,buy_hold_invested,always_timing_return,buy_hold_return,always_timing_equity,buy_hold_equity,always_timing_growth_10k,buy_hold_growth_10k,trip_count,signal_score,timing_on,combined_invested,combined_return,combined_equity,combined_growth_10k
1960-10-14,0.9223635530107133,0.0,0.9277681905309055,0.0,False,False,True,0.0,0.0,1.0,1.0,10000.0,10000.0,2,3.0,True,False,0.0,1.0,10000.0
1960-10-17,0.9186168991864643,9.72169141484347e-05,0.9274545318847944,-0.004062014172198647,False,False,True,9.72169141484347e-05,-0.004062014172198647,1.0000972169141484,0.9959379858278014,10000.972169141485,9959.379858278013,2,3.0,True,False,9.72169141484347e-05,1.0000972169141484,10000.972169141485
1960-10-18,0.9140283240115028,9.721691414865674e-05,0.9270779694697715,-0.004995091184393785,False,False,True,9.721691414865674e-05,-0.004995091184393785,1.0001944432794254,0.99096318477459,10001.944432794255,9909.6318477459,2,3.0,True,False,9.721691414865674e-05,1.0001944432794254,10001.944432794255
1960-10-19,0.9124661374175208,9.72169141484347e-05,0.926714247959099,-0.0017091227404484322,False,False,True,9.72169141484347e-05,-0.0017091227404484322,1.0002916790967495,0.9892695070605445,10002.916790967496,9892.695070605445,2,3.0,True,False,9.72169141484347e-05,1.0002916790967495,10002.916790967496
1960-10-20,0.9060251721601839,9.721691414865674e-05,0.9263537274316177,-0.007058854014644678,False,False,True,9.721691414865674e-05,-0.007058854014644678,1.0003889243670399,0.9822863980290646,10003.889243670399,9822.863980290645,2,3.0,True,False,9.721691414865674e-05,1.0003889243670399,10003.889243670399
1960-10-21,0.9037885184675192,9.72169141484347e-05,0.9259969522856337,-0.002468644096644601,False,False,True,9.72169141484347e-05,-0.002468644096644601,1.0004861790912152,0.9798614825113559,10004.861790912151,9798.614825113558,2,3.0,True,False,9.72169141484347e-05,1.0004861790912152,10004.861790912151
1960-10-24,0.8867441327337512,9.72169141484347e-05,0.9256141439406516,-0.018858820825328415,False,False,True,9.72169141484347e-05,-0.018858820825328415,1.0005834432701946,0.9613824503790335,10005.834432701946,9613.824503790334,2,3.0,True,False,9.72169141484347e-05,1.0005834432701946,10005.834432701946
1960-10-25,0.8784460766925726,9.72169141484347e-05,0.9252187221912389,-0.009357892242936483,False,False,True,9.72169141484347e-05,-0.009357892242936483,1.0006807169048972,0.9523859370041362,10006.807169048972,9523.859370041362,2,3.0,True,False,9.72169141484347e-05,1.0006807169048972,10006.807169048972
1960-10-26,0.8928672145606151,9.72169141484347e-05,0.9249218311322189,0.016416645541112107,False,False,True,9.72169141484347e-05,0.016416645541112107,1.0007779999962425,0.968020919350273,10007.779999962426,9680.20919350273,2,3.0,True,False,9.72169141484347e-05,1.0007779999962425,10007.779999962426
1960-10-27,0.9025789307190104,9.721691414821265e-05,0.9246466387862992,0.010876999401500553,False,False,True,9.721691414821265e-05,0.010876999401500553,1.0008752925451496,0.978550082310686,10008.752925451496,9785.50082310686,2,3.0,True,False,9.721691414821265e-05,1.0008752925451496,10008.752925451496
1960-10-28,0.899161831411503,9.72169141484347e-05,0.9243553736326509,-0.0037859285112996632,False,False,True,9.72169141484347e-05,-0.0037859285112996632,1.0009725945525383,0.9748453616543313,10009.725945525382,9748.453616543313,2,3.0,True,False,9.72169141484347e-05,1.0009725945525383,10009.725945525382
1960-10-31,0.8989428831241616,9.024013079850235e-05,0.9241025712327601,-0.00024350264845840464,False,False,True,9.024013079850235e-05,-0.00024350264845840464,1.0010629224503964,0.9746079842269311,10010.629224503964,9746.079842269311,2,3.0,True,False,9.024013079850235e-05,1.0010629224503964,10010.629224503964
1960-11-01,0.9083223693819475,9.024013079850235e-05,0.9239468965840366,0.010433906796379233,False,False,True,9.024013079850235e-05,0.010433906796379233,1.0011532584994558,0.9847769530973619,10011.532584994558,9847.76953097362,2,3.0,True,False,9.024013079850235e-05,1.0011532584994558,10011.532584994558
1960-11-02,0.9131570949840365,9.024013079850235e-05,0.9238311863558422,0.00532269793749407,False,False,True,9.024013079850235e-05,0.00532269793749407,1.001243602700452,0.990018623354505,10012.436027004522,9900.18623354505,2,3.0,True,False,9.024013079850235e-05,1.001243602700452,10012.436027004522
1960-11-03,0.9168139391521845,9.02401307982803e-05,0.9237216612327995,0.004004616717358855,False,False,True,9.02401307982803e-05,0.004004616717358855,1.0013339550541207,0.993983268484087,10013.339550541206,9939.83268484087,2,3.0,True,False,9.02401307982803e-05,1.0013339550541207,10013.339550541206
1960-11-04,0.924851751807803,9.024013079850235e-05,0.9236377611866701,0.008767114364613082,True,True,True,9.024013079850235e-05,0.008767114364613082,1.0014243155611977,1.002697633475399,10014.243155611977,10026.97633475399,2,3.0,True,True,9.024013079850235e-05,1.0014243155611977,10014.243155611977
1960-11-07,0.9285110550978898,9.024013079850235e-05,0.9236207788039396,0.003956637680508246,True,True,True,0.003956637680508246,0.003956637680508246,1.0053865887423243,1.0066649447141642,10053.865887423244,10066.649447141643,2,3.0,True,True,0.003956637680508246,1.0053865887423243,10053.865887423244
1960-11-09,0.9326767966956163,9.024013079850235e-05,0.9236174486006837,0.004486474958865561,True,True,True,0.004486474958865561,0.004486474958865561,1.009897230496696,1.011181321780592,10098.97230496696,10111.81321780592,2,3.0,True,True,0.004486474958865561,1.009897230496696,10098.97230496696
1960-11-10,0.9509999802480542,9.02401307987244e-05,0.9237166146797903,0.019645801865507018,True,True,True,0.019645801865507018,0.019645801865507018,1.0297374713915584,1.031046789678395,10297.374713915584,10310.46789678395,2,3.0,True,True,0.019645801865507018,1.0297374713915584,10297.374713915584
1960-11-11,0.9416857845227533,9.024013079850235e-05,0.9238170360101247,-0.009794107170087885,True,True,True,-0.009794107170087885,-0.009794107170087885,1.0196521122396942,1.0209486069229097,10196.521122396942,10209.486069229097,2,3.0,True,True,-0.009794107170087885,1.0196521122396942,10196.521122396942
1960-11-14,0.9370891786156009,9.024013079850235e-05,0.9239365657560142,-0.004881252305918515,True,True,True,-0.004881252305918515,-0.004881252305918515,1.0146749330155895,1.0159650991811429,10146.749330155895,10159.650991811428,2,3.0,True,True,-0.004881252305918515,1.0146749330155895,10146.749330155895
1960-11-15,0.9409210332308477,9.024013079850235e-05,0.9240459158149443,0.004089103473489786,True,True,True,0.004089103473489786,0.004089103473489786,1.0188240438086467,1.020119485597149,10188.240438086466,10201.19485597149,2,3.0,True,True,0.004089103473489786,1.0188240438086467,10188.240438086466
1960-11-16,0.9391895264772099,9.02401307982803e-05,0.9240753765489118,-0.0018402253669390634,True,True,True,-0.0018402253669390634,-0.0018402253669390634,1.0169491779587825,1.0182422358424443,10169.491779587825,10182.422358424443,2,3.0,True,True,-0.0018402253669390634,1.0169491779587825,10169.491779587825
1960-11-17,0.9367829832081733,9.024013079850235e-05,0.9241332623297622,-0.0025623616971786056,True,True,True,-0.0025623616971786056,-0.0025623616971786056,1.0143433863372036,1.0156331309388722,10143.433863372036,10156.331309388723,2,3.0,True,True,-0.0025623616971786056,1.0143433863372036,10143.433863372036
1960-11-18,0.9414595423715382,9.02401307987244e-05,0.9242180322098662,0.004992147858353668,True,True,True,0.004992147858353668,0.004992147858353668,1.019407138500942,1.0207033216983616,10194.07138500942,10207.033216983617,2,3.0,True,True,0.004992147858353668,1.019407138500942,10194.07138500942
1960-11-21,0.9434384015279543,9.024013079850235e-05,0.9243359171822553,0.002101905676617166,True,True,True,0.002101905676617166,0.002101905676617166,1.0215498361521411,1.0228487438043814,10215.498361521411,10228.487438043814,2,3.0,True,True,0.002101905676617166,1.0215498361521411,10215.498361521411
1960-11-22,0.9400192371639052,9.024013079850235e-05,0.9244903363240334,-0.003624152205922049,True,True,True,-0.003624152205922049,-0.003624152205922049,1.017847584059991,1.0191417842731982,10178.47584059991,10191.417842731982,2,3.0,True,True,-0.003624152205922049,1.017847584059991,10178.47584059991
1960-11-23,0.9414921714930872,9.024013079850235e-05,0.9246087902349892,0.0015669193469123321,True,True,True,0.0015669193469123321,0.0015669193469123321,1.0194424691316626,1.0207386972522228,10194.424691316626,10207.386972522228,2,3.0,True,True,0.0015669193469123321,1.0194424691316626,10194.424691316626
1960-11-25,0.9471842476134381,9.02401307982803e-05,0.92478387040779,0.006045802920829457,True,True,True,0.006045802920829457,0.006045802920829457,1.0256058173891565,1.026909882249474,10256.058173891564,10269.09882249474,2,3.0,True,True,0.006045802920829457,1.0256058173891565,10256.058173891564
1960-11-28,0.9456206018089701,9.02401307987244e-05,0.924976017814628,-0.0016508359470798206,True,True,True,-0.0016508359470798206,-0.0016508359470798206,1.0239127104382764,1.0252146225014451,10239.127104382764,10252.14622501445,2,3.0,True,True,-0.0016508359470798206,1.0239127104382764,10239.127104382764
1960-11-29,0.942368694918734,9.024013079850235e-05,0.9251282916761261,-0.0034389129044092304,True,True,True,-0.0034389129044092304,-0.0034389129044092304,1.0203915638053616,1.0216889987063358,10203.915638053615,10216.889987063358,2,3.0,True,True,-0.0034389129044092304,1.0203915638053616,10203.915638053615
1960-11-30,0.9375965209629754,9.295477615278713e-05,0.9252799524490186,-0.0050640200395982715,True,True,True,-0.0050640200395982715,-0.0050640200395982715,1.0152242804780143,1.0165151451426497,10152.242804780142,10165.151451426498,2,3.0,True,True,-0.0050640200395982715,1.0152242804780143,10152.242804780142
1960-12-01,0.9336672512640822,9.295477615278713e-05,0.925447555917234,-0.004190789546507201,True,True,True,-0.004190789546507201,-0.004190789546507201,1.0109696891760267,1.0122551440985197,10109.696891760266,10122.551440985197,2,3.0,True,True,-0.004190789546507201,1.0109696891760267,10109.696891760266
1960-12-02,0.9353093097331103,9.295477615278713e-05,0.9255981062753387,0.0017587191441115202,True,True,True,0.0017587191441115202,0.0017587191441115202,1.012747700922497,1.0140354165991712,10127.47700922497,10140.354165991712,2,3.0,True,True,0.0017587191441115202,1.012747700922497,10127.47700922497
1960-12-05,0.9340808363658964,9.295477615278713e-05,0.9256785835459125,-0.0013134407563679673,True,True,True,-0.0013134407563679673,-0.0013134407563679673,1.0114175168161874,1.0127035411546093,10114.175168161873,10127.035411546092,2,3.0,True,True,-0.0013134407563679673,1.0114175168161874,10114.175168161873
1960-12-06,0.9369056640000727,9.295477615278713e-05,0.9257363856823091,0.0030241789834446475,True,True,True,0.0030241789834446475,0.0030241789834446475,1.0144762244140306,1.015766137920229,10144.762244140305,10157.661379202289,2,3.0,True,True,0.0030241789834446475,1.0144762244140306,10144.762244140305
1960-12-07,0.9463192904635761,9.295477615300918e-05,0.925865333517107,0.01004757130329681,True,True,True,0.01004757130329681,0.01004757130329681,1.02466924661433,1.0259721206184569,10246.692466143299,10259.72120618457,2,3.0,True,True,0.01004757130329681,1.02466924661433,10246.692466143299
1960-12-08,0.9486396081775551,9.295477615300918e-05,0.9260217374837448,0.002451939569827699,True,True,True,0.002451939569827699,0.002451939569827699,1.027181673686089,1.0284877422585412,10271.81673686089,10284.877422585412,2,3.0,True,True,0.002451939569827699,1.027181673686089,10271.81673686089
1960-12-09,0.9572123719407485,9.295477615278713e-05,0.9262047674598739,0.00903690262275969,True,True,True,0.00903690262275969,0.00903690262275969,1.0364642144470735,1.0377820858340336,10364.642144470736,10377.820858340336,2,3.0,True,True,0.00903690262275969,1.0364642144470735,10364.642144470736
1960-12-12,0.9607175643822106,9.295477615278713e-05,0.9263857889112146,0.0036618754042587742,True,True,True,0.0036618754042587742,0.0036618754042587742,1.0402596172613516,1.0415823145291296,10402.596172613516,10415.823145291297,2,3.0,True,True,0.0036618754042587742,1.0402596172613516,10402.596172613516
